source_row,product_code,product_name,brand,category_name,unit,mrp,selling_price,cost_price,margin_percentage,stock_quantity,source_hsn_code,source_gst_percent,source_alias_name,source_generic_name,source_sub_category,source_created_date
511,LEGACY-XLS-73901,MENS MULTIVITAMIN TAB 60S-SWISSE,SWISSE WELLNESS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,2349.00,2349.00,1990.68,15.25,0.00,21069099,5.00,MENS MULTIVITAMIN TAB 60S-SWISSE,,SWISSE(TAG),24/02/2026
512,LEGACY-XLS-73904,GLUCOSAMINE SULFATE+ 60S-SWISSE,SWISSE WELLNESS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1899.00,1899.00,1609.32,15.25,5.00,21069099,5.00,GLUCOSAMINE SULFATE+ 60S-SWISSE,,SWISSE(TAG),24/02/2026
513,LEGACY-XLS-73906,HIGH STRENGTH MAGNESIUM GLYCINATE & CITRATE ORANGE 90GM PWD-SWISSE,SWISSE WELLNESS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1499.00,1499.00,1270.34,15.25,2.00,21069099,5.00,HIGH STRENGTH MAGNESIUM GLYCINATE & CITRATE ORANGE 90GM PWD-SWISSE,,SWISSE(TAG),24/02/2026
514,LEGACY-XLS-73907,CALCIUM + VITAMIN D TAB 90S-SWISSE,SWISSE WELLNESS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1399.00,1399.00,1185.59,15.25,0.00,21069099,5.00,CALCIUM + VITAMIN D TAB 90S-SWISSE,,SWISSE(TAG),24/02/2026
515,LEGACY-XLS-73908,SLOW BONE SUPPORT 60S-WELLBEING,NUTRITIONALAB PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1399.00,1399.00,866.05,38.10,0.00,21069099,5.00,SLOW BONE SUPPORT 60S-WELLBEING,,WELLBEING(TAG),24/02/2026
516,LEGACY-XLS-73910,MAGNESIUM CALCIUM+ D3 60S-SWISSE,SWISSE WELLNESS PVT LTD,VITAMINS & SUPPLEMENTS-HW,1 pack,1399.00,1399.00,1185.59,15.25,0.00,21069099,5.00,MAGNESIUM CALCIUM+ D3 60S-SWISSE,,SWISSE(TAG),24/02/2026
517,LEGACY-XLS-73931,A TO Z WOMEN CAP,ALKEM LABORATORIES LTD,VITAMINS & SUPPLEMENTS-HW,15 pack,383.50,383.50,292.19,23.81,1.00,21069099,5.00,A TO Z WOMEN CAP,MULTIVITAMIN-MINERALS-EVENING PRIMROSE OIL-BORAGE OIL-BIOFLAVONOIDS,BRAND-RX,25/02/2026
518,LEGACY-XLS-74121,MYBPH CAP,ZYMERA LIFECARE PVT LTD,VITAMINS & SUPPLEMENTS-HW,10 pack,280.30,280.30,216.02,22.93,0.00,21069099,5.00,MYBPH CAP,BETA SITOSTEROL-URTICA DIOCA-PUMPKIN SEED EXTRACT-CURCUMIN-L GLUTAMIC ACID-L ALANINE-ZINC-VITAMIN D3,BRAND-RX,11/03/2026
519,LEGACY-XLS-74158,STETHOSCOPE LITTMANN CLASSIC III,3M INDIA LIMITED,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,17156.00,17156.00,8553.00,50.15,0.00,90189012,5.00,STETHOSCOPE LITTMANN CLASSIC III,,OTC,14/03/2026
520,LEGACY-XLS-74305,CNS KIT,JAMBA ENTERPRISES,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,1650.00,1650.00,735.00,55.45,0.00,90189099,5.00,CNS KIT,,OTX,07/04/2026
521,LEGACY-XLS-74382,FINGER PULSE OXIMETER-ACCUSURE,MICROGENE DIAGNOSTIC SYSTEMS (P) LTD,DIAGNOSTIC DEVICES & MONITORING EQUIPMENT-MDE,1 pack,2299.00,2299.00,809.52,64.79,3.00,90189019,5.00,FINGER PULSE OXIMETER-ACCUSURE,,ACCUSURE(TAG),18/04/2026
